Treatment,Replicate,Eye_Area_sq_mm,Yolk_Area_sq_mm,Length_mm,Developmental_Stage,Days_Post_Fertilization
Control,6,1.28,46.67,14.96,28,34
Control,6,1.33,48.35,14.41,28,34
6PPDQ,1,1.16,44.89,15.21,29,41
6PPDQ,1,1.28,57.64,15.54,29,41
6PPDQ,1,1.48,43.72,16.01,29,41
6PPDQ,1,1.39,44.63,15.74,29,41
6PPDQ,1,1.49,55.64,16.47,29,41
6PPDQ,2,1.32,59.42,16.17,29,41
6PPDQ,2,1.41,60.81,14.87,28,41
6PPDQ,2,1.37,67.95,16.87,27,41
6PPDQ,2,1.58,56.60,14.90,28,41
6PPDQ,2,1.28,58.90,15.51,29,41
6PPDQ,3,1.07,46.54,14.63,27,41
6PPDQ,3,1.48,39.53,15.99,28,41
6PPDQ,3,1.11,41.68,15.01,28,41
6PPDQ,3,1.46,50.60,16.80,29,41
6PPDQ,3,1.07,46.18,14.23,28,41
6PPDQ,4,1.52,69.83,16.14,29,41
6PPDQ,4,1.45,67.56,15.75,29,41
6PPDQ,4,1.51,51.18,16.20,29,41
6PPDQ,4,1.22,49.72,14.87,29,41
6PPDQ,4,1.34,44.04,15.60,29,41
6PPDQ,5,1.13,41.90,14.38,29,41
6PPDQ,5,1.23,51.79,13.21,29,41
6PPDQ,5,1.43,67.35,15.54,29,41
6PPDQ,5,1.22,45.86,14.95,29,41
6PPDQ,5,0.95,67.58,14.44,29,41
6PPDQ,6,1.22,49.14,14.36,28,41
6PPDQ,6,1.08,52.87,14.52,28,41
6PPDQ,6,1.18,41.94,15.23,28,41
6PPDQ,6,1.01,48.09,15.12,28,41
6PPDQ,6,1.20,51.26,14.66,28,41
Control,1,1.66,45.50,15.39,29,41
Control,1,1.72,55.81,16.89,29,41
Control,1,1.34,59.19,14.89,29,41
Control,1,1.55,45.94,15.65,29,41
Control,1,1.30,42.67,14.95,29,41
Control,2,1.99,69.63,16.71,29,41
Control,2,1.89,61.04,18.01,29,41
Control,2,1.62,56.91,16.48,29,41
Control,2,1.46,44.37,15.10,29,41
Control,2,1.52,66.98,16.09,28,41
Control,3,1.69,51.69,17.26,29,41
Control,3,1.79,52.49,16.07,29,41
Control,3,1.43,47.45,15.61,29,41
Control,3,1.47,59.03,16.53,29,41
Control,3,1.69,69.25,16.83,29,41
Control,4,1.79,72.37,17.60,29,41
Control,4,1.75,62.23,18.11,29,41
Control,4,1.49,45.88,15.57,29,41
Control,4,1.70,60.48,16.69,29,41
Control,4,1.90,54.04,17.62,29,41
Control,5,1.50,39.38,16.29,29,41
Control,5,1.51,56.97,16.18,29,41
Control,5,1.90,55.88,17.03,29,41
Control,5,1.62,43.76,16.91,29,41
Control,5,1.76,46.11,17.23,29,41
Control,6,1.57,48.84,17.13,29,41
Control,6,1.93,40.97,17.66,29,41
Control,6,1.25,41.74,15.71,29,41
Control,6,1.86,42.55,17.10,29,41
Control,6,1.91,44.64,17.57,29,41
